state	finished	ev
Alabama	100	9
Alaska	97.70	3
Arizona	100	11
Arkansas	100	6
California	100	55
Colorado	100	9
Connecticut	96.10	7
Delaware	100	3
District of Columbia	100	3
Florida	100	29
Georgia	100	16
Hawaii	100	4
Idaho	100	4
Illinois	99.10	20
Indiana	99.90	11
Iowa	99.90	6
Kansas	99.90	6
Kentucky	100	8
Louisiana	100	8
Maine	98	4
Maryland	99.90	10
Massachusetts	100	11
Michigan	100	16
Minnesota	100	10
Mississippi	100	6
Missouri	99.90	10
Montana	100	3
Nebraska	100	5
Nevada	100	6
New Hampshire	100	4
New Jersey	99.10	14
New Mexico	100	5
New York	99.60	29
North Carolina	100	15
North Dakota	100	3
Ohio	100	18
Oklahoma	100	7
Oregon	99.10	7
Pennsylvania	99.80	20
Rhode Island	99.20	4
South Carolina	100	9
South Dakota	100	3
Tennessee	100	11
Texas	99.90	38
Utah	78.20	6
Vermont	100	3
Virginia	99.90	13
Washington	71.50	12
West Virginia	100	5
Wisconsin	100	10
Wyoming	100	3